Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
4,3.00mm (118.11mils),NPTH,Round,"L1 (Sig, PWR) - L2 (Sig, PWR)",Mechanical
8,3.20mm (125.98mils),NPTH,Round,"L1 (Sig, PWR) - L2 (Sig, PWR)",Mechanical
Total 12,,,,,
